exec,label,timestamp,cpu
63,listener,1734047911, 0.0
63,listener,1734047912,13.0
63,listener,1734047912,14.0
63,listener,1734047913, 7.5
63,listener,1734047913, 7.5
63,listener,1734047914, 5.3
63,listener,1734047914, 5.6
63,listener,1734047915, 4.2
63,listener,1734047916, 4.5
63,listener,1734047916, 3.6
63,listener,1734047917, 3.8
63,listener,1734047917, 3.3
63,listener,1734047918, 3.3
63,listener,1734047918, 3.0
63,listener,1734047919, 3.1
63,listener,1734047919, 2.8
63,listener,1734047920, 3.0
63,listener,1734047920, 2.6
63,listener,1734047921, 2.5
63,listener,1734047921, 2.6
63,listener,1734047922, 2.3
63,listener,1734047922, 2.4
63,listener,1734047923, 2.3
63,listener,1734047923, 2.3
63,listener,1734047924, 2.2
63,listener,1734047924, 2.3
63,listener,1734047925, 2.1
63,listener,1734047925, 2.2
63,listener,1734047926, 2.1
63,listener,1734047926, 2.2
63,listener,1734047927, 2.0
63,listener,1734047927, 2.1
63,listener,1734047928, 2.0
63,listener,1734047928, 2.0
63,listener,1734047929, 2.0
63,listener,1734047929, 2.0
63,listener,1734047930, 1.9
63,listener,1734047930, 2.0
63,listener,1734047931, 1.9
63,listener,1734047932, 1.9
63,listener,1734047932, 1.9
63,listener,1734047933, 1.9
63,listener,1734047933, 1.8
63,listener,1734047934, 1.8
63,listener,1734047934, 1.8
63,listener,1734047935, 1.8
63,listener,1734047935, 1.7
63,listener,1734047936, 1.8
63,listener,1734047936, 1.8
63,listener,1734047937, 1.7
63,listener,1734047937, 1.7
63,listener,1734047938, 1.7
63,listener,1734047938, 1.7
63,listener,1734047939, 1.7
63,listener,1734047939, 1.7
63,listener,1734047940, 1.6
63,listener,1734047940, 1.7
63,listener,1734047941, 1.7
63,listener,1734047941, 1.7
63,listener,1734047942, 1.6
63,listener,1734047942, 1.7
63,listener,1734047943, 1.6
63,listener,1734047943, 1.6
63,listener,1734047944, 1.6
63,listener,1734047944, 1.6
63,listener,1734047945, 1.6
63,listener,1734047945, 1.6
63,listener,1734047946, 1.6
63,listener,1734047947, 1.6
63,listener,1734047947, 1.6
63,listener,1734047948, 1.6
63,listener,1734047948, 1.6
63,listener,1734047949, 1.6
63,listener,1734047949, 1.6
63,listener,1734047950, 1.6
63,listener,1734047950, 1.6
63,listener,1734047951, 1.6
63,listener,1734047951, 1.6
63,listener,1734047952, 1.5
63,listener,1734047952, 1.5
63,listener,1734047953, 1.5
63,listener,1734047953, 1.5
63,listener,1734047954, 1.5
63,listener,1734047954, 1.5
63,listener,1734047955, 1.5
63,listener,1734047955, 1.5
63,listener,1734047956, 1.5
