__run_id,__done,ros_package,msg_interval,language,exec_time,num_clients
run_0_repetition_0,DONE,simple_service_client,0.05,py,180,1
run_1_repetition_0,DONE,simple_service_client,0.05,py,180,2
run_2_repetition_0,DONE,simple_service_client,0.05,py,180,3
run_3_repetition_0,DONE,simple_service_client,0.05,cpp,180,1
run_4_repetition_0,DONE,simple_service_client,0.05,cpp,180,2
run_5_repetition_0,DONE,simple_service_client,0.05,cpp,180,3
run_6_repetition_0,DONE,simple_service_client,0.1,py,180,1
run_7_repetition_0,DONE,simple_service_client,0.1,py,180,2
run_8_repetition_0,DONE,simple_service_client,0.1,py,180,3
run_9_repetition_0,DONE,simple_service_client,0.1,cpp,180,1
run_10_repetition_0,DONE,simple_service_client,0.1,cpp,180,2
run_11_repetition_0,DONE,simple_service_client,0.1,cpp,180,3
run_12_repetition_0,DONE,simple_service_client,0.25,py,180,1
run_13_repetition_0,DONE,simple_service_client,0.25,py,180,2
run_14_repetition_0,DONE,simple_service_client,0.25,py,180,3
run_15_repetition_0,DONE,simple_service_client,0.25,cpp,180,1
run_16_repetition_0,DONE,simple_service_client,0.25,cpp,180,2
run_17_repetition_0,DONE,simple_service_client,0.25,cpp,180,3
run_18_repetition_0,DONE,simple_service_client,0.5,py,180,1
run_19_repetition_0,DONE,simple_service_client,0.5,py,180,2
run_20_repetition_0,DONE,simple_service_client,0.5,py,180,3
run_21_repetition_0,DONE,simple_service_client,0.5,cpp,180,1
run_22_repetition_0,DONE,simple_service_client,0.5,cpp,180,2
run_23_repetition_0,DONE,simple_service_client,0.5,cpp,180,3
run_24_repetition_0,DONE,simple_service_client,1.0,py,180,1
run_25_repetition_0,DONE,simple_service_client,1.0,py,180,2
run_26_repetition_0,DONE,simple_service_client,1.0,py,180,3
run_27_repetition_0,DONE,simple_service_client,1.0,cpp,180,1
run_28_repetition_0,DONE,simple_service_client,1.0,cpp,180,2
run_29_repetition_0,DONE,simple_service_client,1.0,cpp,180,3
run_0_repetition_1,DONE,simple_service_client,0.05,py,180,1
run_1_repetition_1,DONE,simple_service_client,0.05,py,180,2
run_2_repetition_1,DONE,simple_service_client,0.05,py,180,3
run_3_repetition_1,DONE,simple_service_client,0.05,cpp,180,1
