744,pubsub-talker-cpp-1,1697221912,0.21,542244.75
744,pubsub-listener-cpp-1,1697221912,0.19,497318.90
744,pubsub-talker-cpp-1,1697222255,0.16,541915.12
744,pubsub-listener-cpp-1,1697222255,0.12,562722.38
745,pubsub-talker-cpp-1,1697222319,0.16,539180.65
745,pubsub-listener-cpp-1,1697222319,0.18,560149.57
746,pubsub-talker-cpp-1,1697222382,0.18,539559.05
746,pubsub-listener-cpp-1,1697222382,0.13,497310.16
747,pubsub-talker-cpp-1,1697222446,0.15,539995.95
747,pubsub-listener-cpp-1,1697222446,0.15,560218.86
748,pubsub-talker-cpp-1,1697222509,0.18,541746.46
748,pubsub-listener-cpp-1,1697222509,0.16,497310.01
749,pubsub-talker-cpp-1,1697222573,0.20,539559.05
749,pubsub-listener-cpp-1,1697222573,0.16,495040.62
750,pubsub-talker-cpp-1,1697222636,0.16,539371.33
750,pubsub-listener-cpp-1,1697222636,0.20,562461.14
751,pubsub-talker-cpp-1,1697222700,0.21,539276.36
751,pubsub-listener-cpp-1,1697222700,0.17,495522.31
752,pubsub-talker-cpp-1,1697222763,0.15,541911.54
752,pubsub-listener-cpp-1,1697222763,0.13,431525.43
753,pubsub-talker-cpp-1,1697222827,0.19,539584.15
753,pubsub-listener-cpp-1,1697222827,0.14,495069.12
754,pubsub-talker-cpp-1,1697222889,0.20,552225.34
754,pubsub-listener-cpp-1,1697222889,0.16,497214.42
744,pubsub-talker-cpp-1,1697222899,0.52,563588.00
744,pubsub-listener-cpp-1,1697222899,0.35,427830.13
755,pubsub-talker-cpp-1,1697222909,0.53,563588.00
755,pubsub-listener-cpp-1,1697222909,0.41,560239.29
745,pubsub-talker-cpp-1,1697222920,0.41,0.00
745,pubsub-listener-cpp-1,1697222920,0.35,560363.23
756,pubsub-talker-cpp-1,1697222937,0.41,563588.00
756,pubsub-listener-cpp-1,1697222937,0.30,560724.74
744,pubsub-talker-cpp-10,1697222948,1.80,562919.64
744,pubsub-listener-cpp-10,1697222948,1.16,561205.60
757,pubsub-talker-cpp-1,1697222958,0.53,563588.00
757,pubsub-listener-cpp-1,1697222958,0.28,429350.00
745,pubsub-talker-cpp-10,1697222969,2.67,568838.78
745,pubsub-listener-cpp-10,1697222969,1.22,562688.26
758,pubsub-talker-cpp-1,1697222979,0.50,563588.00
758,pubsub-listener-cpp-1,1697222979,0.40,560239.29
746,pubsub-talker-cpp-10,1697222989,1.60,564233.58
746,pubsub-listener-cpp-10,1697222989,1.25,562297.02
759,pubsub-talker-cpp-1,1697222999,0.49,563588.00
759,pubsub-listener-cpp-1,1697222999,0.42,560103.81
747,pubsub-talker-cpp-10,1697223010,2.48,568828.67
747,pubsub-listener-cpp-10,1697223010,1.25,562178.10
760,pubsub-talker-cpp-1,1697223020,0.57,562098.55
760,pubsub-listener-cpp-1,1697223020,0.37,427727.64
748,pubsub-talker-cpp-10,1697223030,1.44,560047.47
748,pubsub-listener-cpp-10,1697223030,1.33,561075.91
761,pubsub-talker-cpp-1,1697223041,0.47,563580.00
761,pubsub-listener-cpp-1,1697223041,0.36,429286.49
749,pubsub-talker-cpp-10,1697223044,3.78,540869.33
749,pubsub-listener-cpp-10,1697223044,1.67,540976.33
762,pubsub-talker-cpp-1,1697223055,0.78,563580.00
762,pubsub-listener-cpp-1,1697223055,1.12,552229.33
750,pubsub-talker-cpp-10,1697223065,2.08,561428.36
750,pubsub-listener-cpp-10,1697223065,1.22,560988.36
763,pubsub-talker-cpp-1,1697223075,0.34,563588.00
763,pubsub-listener-cpp-1,1697223075,0.25,429220.09
751,pubsub-talker-cpp-10,1697223127,0.52,558886.15
751,pubsub-listener-cpp-10,1697223127,0.37,565162.29
744,pubsub-talker-cpp-1,1697223207,0.16,541126.68
744,pubsub-listener-cpp-1,1697223207,0.16,429906.65
745,pubsub-talker-cpp-1,1697223270,0.19,542485.46
745,pubsub-listener-cpp-1,1697223270,0.13,562733.68
744,pubsub-talker-cpp-10,1697223383,1.07,559639.97
744,pubsub-listener-cpp-10,1697223383,0.37,562315.71
745,pubsub-talker-cpp-10,1697223445,0.57,558554.50
745,pubsub-listener-cpp-10,1697223445,0.38,566922.48
744,pubsub-talker-cpp-20,1697223562,1.14,554491.88
744,pubsub-listener-cpp-20,1697223562,1.16,560721.20
745,pubsub-talker-cpp-20,1697223626,1.40,548755.83
745,pubsub-listener-cpp-20,1697223626,0.85,0.00
744,pubsub-talker-cpp-30,1697223697,2.15,558642.25
744,pubsub-listener-cpp-30,1697223697,2.16,0.00
744,pubsub-talker-cpp-1,1697224088,0.19,542642.94
744,pubsub-listener-cpp-1,1697224088,0.16,562492.27
744,pubsub-talker-cpp-1,1697224109,0.20,594388.00
744,pubsub-listener-cpp-1,1697224109,0.20,585756.00
744,pubsub-talker-cpp-10,1697224180,0.50,297194.00
744,pubsub-listener-cpp-10,1697224180,0.25,292876.00
744,pubsub-talker-cpp-20,1697224247,0.60,297194.00
744,pubsub-listener-cpp-20,1697224247,0.25,0.00
744,pubsub-talker-cpp-30,1697224885,1.80,297194.00
744,pubsub-listener-cpp-30,1697224885,0.65,0.00
744,pubsub-talker-cpp-1,1697224963,0.10,594388.00
744,pubsub-listener-cpp-1,1697224963,0.10,454744.00
745,pubsub-talker-cpp-1,1697224998,0.10,198129.33
745,pubsub-listener-cpp-1,1697224998,0.03,195276.00
744,pubsub-talker-cpp-10,1697225132,,
744,pubsub-listener-cpp-10,1697225132,,
744,pubsub-talker-cpp-30,1697225614,6.67,564180.43
744,pubsub-listener-cpp-30,1697225614,2.72,0.00
744,pubsub-talker-cpp-1,1697291296,,
744,pubsub-listener-cpp-1,1697291296,,
744,pubsub-talker-py-1,1697291649,,
744,pubsub-listener-py-1,1697291649,,
744,pubsub-talker-cpp-10,1697291847,,
744,pubsub-listener-cpp-10,1697291847,,
