label,timestamp,duration,pkg,dram,socket
pub_py_1,1696979303.9975727,50863295.508,400143202.0,40769182.0,0
sub_py_1,1696979304.5357282,51825934.984,399373246.0,41178789.0,0
pub_py_1,1696979367.074811,50862313.482,404843873.0,40403155.0,0
sub_py_1,1696979367.5613768,51873266.598,407817376.0,41127092.0,0
pub_py_1,1696979430.157648,50849967.637,395439174.0,39999470.0,0
sub_py_1,1696979430.6280077,51879001.185,399236771.0,40743732.0,0
pub_py_1,1696979493.1724048,50858963.878,397770588.0,40264423.0,0
sub_py_1,1696979493.6444473,51887404.734,401325327.0,41024493.0,0
pub_py_1,1696979556.2340283,50847885.403,408938895.0,41330949.0,0
sub_py_1,1696979556.6976194,51882079.997,415542760.0,42501295.0,0
pub_py_1,1696979619.2294421,50843562.889,363098985.0,19747447.0,0
sub_py_1,1696979619.7097018,51863797.918,366780921.0,20158518.0,0
pub_py_1,1696979682.2958167,50853247.107,361933888.0,19703684.0,0
sub_py_1,1696979682.7724886,51876900.813,366403787.0,20157542.0,0
pub_py_1,1696979745.3494327,50831792.466,365095867.0,19701121.0,0
sub_py_1,1696979745.8388019,51844459.406,370031584.0,20167307.0,0
pub_py_1,1696979808.392244,50835015.352,373039451.0,20034617.0,0
sub_py_1,1696979808.9005084,51824768.167,377854135.0,20489876.0,0
pub_py_1,1696979871.2830381,50865703.366,363642501.0,19832408.0,0
sub_py_1,1696979871.7633607,51881220.126,367111548.0,20243417.0,0
pub_py_1,1696979934.3416376,50845146.465,360797477.0,19729808.0,0
sub_py_1,1696979934.8213913,51863453.944,365109234.0,20163584.0,0
pub_py_1,1696979997.4120216,50836207.137,365207317.0,19777476.0,0
sub_py_1,1696979997.901717,51843537.369,370635037.0,20236887.0,0
pub_py_1,1696980060.3064547,50843004.656,363354233.0,19722362.0,0
sub_py_1,1696980060.7893968,51861712.138,366700904.0,20100291.0,0
pub_py_1,1696980123.3700175,50844331.633,365779398.0,20049570.0,0
sub_py_1,1696980123.8466067,51867726.567,369909209.0,20482308.0,0
pub_py_1,1696980186.4441688,50839604.548,361468618.0,19653209.0,0
sub_py_1,1696980186.9066317,51874545.026,366457802.0,20142648.0,0
pub_py_1,1696980249.470139,50833441.762,363620346.0,19751658.0,0
sub_py_1,1696980249.9612696,51844211.473,369049715.0,20221628.0,0
pub_py_1,1696980312.521414,50832532.415,367583410.0,19835093.0,0
sub_py_1,1696980313.0246036,51830406.034,372882164.0,20297494.0,0
pub_py_1,1696980375.4116464,50840521.889,363537766.0,19745799.0,0
sub_py_1,1696980375.8910449,51862492.886,367555395.0,20156076.0,0
pub_py_1,1696980438.482892,50838906.13,362862474.0,19682139.0,0
sub_py_1,1696980438.9560518,51865162.452,367857762.0,20179636.0,0
pub_py_1,1696980501.516068,50833618.833,369092073.0,19955210.0,0
