label,timestamp,cpu,mem
talker_cpp,1696540894,0.0,104896
listener_cpp,1696540894,0.0,105924
talker_cpp,1696540947,0.0,104900
listener_cpp,1696540947,0.0,105924
talker_cpp,1696541000,0.0,105924
listener_cpp,1696541000,0.0,105924
talker_cpp,1696541053,0.0,105920
listener_cpp,1696541053,0.0,104896
talker_cpp,1696541106,0.0,104900
listener_cpp,1696541106,0.0,104900
talker_cpp,1696541160,0.0,105924
listener_cpp,1696541160,0.0,105924
talker_cpp,1696541213,0.0,105924
listener_cpp,1696541213,0.0,105924
talker_cpp,1696541266,0.0,105924
listener_cpp,1696541266,0.0,105924
talker_cpp,1696541319,0.0,105924
listener_cpp,1696541319,0.0,105924
talker_cpp,1696541373,0.0,105924
listener_cpp,1696541373,0.0,105924
talker_cpp,1696541426,0.0,104900
listener_cpp,1696541426,0.0,104900
talker_cpp,1696541479,0.0,105924
listener_cpp,1696541479,0.0,105920
talker_cpp,1696541532,0.0,105920
listener_cpp,1696541532,0.0,104896
talker_cpp,1696541585,0.0,104900
listener_cpp,1696541585,0.0,104900
talker_cpp,1696541639,0.0,105924
listener_cpp,1696541639,0.0,104904
talker_cpp,1696541692,0.0,105924
listener_cpp,1696541692,0.0,104904
talker_cpp,1696541745,0.0,105924
listener_cpp,1696541745,0.0,104904
talker_cpp,1696541798,0.0,104900
listener_cpp,1696541798,0.0,104900
talker_cpp,1696541852,0.0,105924
listener_cpp,1696541852,0.0,104904
talker_cpp,1696541905,0.0,105924
listener_cpp,1696541905,0.0,105920
talker_cpp,1696541958,0.0,105924
listener_cpp,1696541958,0.0,104904
talker_cpp,1696542011,0.0,104900
listener_cpp,1696542011,0.0,105924
talker_cpp,1696542065,0.0,105924
listener_cpp,1696542065,0.0,105924
talker_cpp,1696542118,0.0,105924
listener_cpp,1696542118,0.0,104900
talker_cpp,1696542171,0.0,105924
listener_cpp,1696542171,0.0,105924
talker_cpp,1696542224,0.0,104904
listener_cpp,1696542224,0.0,105924
talker_cpp,1696542278,0.0,105920
listener_cpp,1696542278,0.0,104904
talker_cpp,1696542331,0.0,104904
listener_cpp,1696542331,0.0,105924
talker_cpp,1696542384,0.0,105924
listener_cpp,1696542384,0.0,104896
talker_cpp,1696542437,0.0,105924
listener_cpp,1696542437,0.0,105924
talker_cpp,1696542491,0.0,105924
listener_cpp,1696542491,0.0,105924
talker_cpp,1696542544,0.0,104896
listener_cpp,1696542544,0.0,104896
talker_cpp,1696542597,0.0,105924
listener_cpp,1696542597,0.0,104904
talker_cpp,1696542650,0.0,105920
listener_cpp,1696542650,0.0,105924
talker_cpp,1696542704,0.0,104900
listener_cpp,1696542704,0.0,105924
talker_cpp,1696542757,0.0,104896
listener_cpp,1696542757,0.0,105924
talker_cpp,1696542810,0.0,105920
listener_cpp,1696542810,0.0,105924
talker_cpp,1696542863,0.0,105924
listener_cpp,1696542863,0.0,104896
talker_cpp,1696542917,0.0,104900
listener_cpp,1696542917,0.0,104900
talker_cpp,1696542970,0.0,105924
