exec,label,timestamp,cpu,mem
107,teleop-movefb-py-20,1697128290,38.08,581547.42
108,teleop-turtlesim_node-py-20,1697128290,36.45,0.00
109,teleop-movefb-py-20,1697128515,38.18,582992.68
110,teleop-turtlesim_node-py-20,1697128515,34.35,0.00
111,teleop-movefb-py-20,1697128740,37.72,579588.43
112,teleop-turtlesim_node-py-20,1697128740,34.56,0.00
113,teleop-movefb-py-20,1697128965,34.26,574773.93
114,teleop-turtlesim_node-py-20,1697128965,35.56,0.00
115,teleop-movefb-py-20,1697129191,34.96,588368.38
116,teleop-turtlesim_node-py-20,1697129191,37.93,0.00
117,teleop-movefb-py-20,1697129416,39.84,585000.60
118,teleop-turtlesim_node-py-20,1697129416,36.57,0.00
119,teleop-movefb-py-20,1697129641,35.54,584564.08
120,teleop-turtlesim_node-py-20,1697129641,35.34,0.00
121,teleop-movefb-py-30,1697129877,25.88,558286.23
122,teleop-turtlesim_node-py-30,1697129877,23.55,0.00
123,teleop-movefb-py-30,1697130103,26.64,559718.32
124,teleop-turtlesim_node-py-30,1697130103,26.53,0.00
125,teleop-movefb-py-30,1697130329,24.97,538558.65
126,teleop-turtlesim_node-py-30,1697130329,23.32,0.00
127,teleop-movefb-py-30,1697130555,23.28,480546.42
128,teleop-turtlesim_node-py-30,1697130555,22.30,0.00
129,teleop-movefb-py-30,1697130781,22.09,466928.12
130,teleop-turtlesim_node-py-30,1697130781,22.52,0.00
131,teleop-movefb-py-30,1697131007,25.85,546571.19
132,teleop-turtlesim_node-py-30,1697131007,22.44,0.00
133,teleop-movefb-py-30,1697131233,27.12,551197.44
134,teleop-turtlesim_node-py-30,1697131233,23.78,0.00
135,teleop-movefb-py-30,1697131459,25.70,487321.78
136,teleop-turtlesim_node-py-30,1697131459,22.43,0.00
137,teleop-movefb-py-30,1697131685,26.07,549044.95
138,teleop-turtlesim_node-py-30,1697131685,23.56,0.00
139,teleop-movefb-py-30,1697131910,27.58,537903.55
140,teleop-turtlesim_node-py-30,1697131910,23.82,0.00
141,teleop-movefb-py-30,1697132136,26.69,548028.21
142,teleop-turtlesim_node-py-30,1697132136,22.81,0.00
143,teleop-movefb-py-30,1697132362,27.62,558419.48
144,teleop-turtlesim_node-py-30,1697132362,22.21,0.00
145,teleop-movefb-py-30,1697132588,27.61,544752.44
146,teleop-turtlesim_node-py-30,1697132588,25.58,0.00
147,teleop-movefb-py-30,1697132813,25.88,557483.14
148,teleop-turtlesim_node-py-30,1697132813,24.74,0.00
149,teleop-movefb-py-30,1697133039,24.47,554495.65
150,teleop-turtlesim_node-py-30,1697133039,21.94,0.00
151,teleop-movefb-py-30,1697133265,33.95,587819.56
152,teleop-turtlesim_node-py-30,1697133265,33.42,0.00
153,teleop-movefb-py-30,1697133491,27.06,551338.15
154,teleop-turtlesim_node-py-30,1697133491,22.05,0.00
155,teleop-movefb-py-30,1697133716,24.73,545325.37
156,teleop-turtlesim_node-py-30,1697133716,23.28,0.00
157,teleop-movefb-py-30,1697133942,29.00,543980.06
158,teleop-turtlesim_node-py-30,1697133942,20.92,0.00
159,teleop-movefb-py-30,1697134168,26.40,559274.60
160,teleop-turtlesim_node-py-30,1697134168,22.33,0.00
161,teleop-movefb-py-40,1697134405,19.48,476748.38
162,teleop-turtlesim_node-py-40,1697134405,20.03,0.00
163,teleop-movefb-py-40,1697134432,19.04,362385.60
164,teleop-turtlesim_node-py-40,1697134432,6.88,0.00
165,teleop-movefb-py-40,1697134674,18.15,0.00
166,teleop-turtlesim_node-py-40,1697134674,17.58,0.00
167,teleop-movefb-py-40,1697134902,21.59,555450.82
168,teleop-turtlesim_node-py-40,1697134902,20.20,0.00
169,teleop-movefb-py-40,1697135129,21.33,550855.51
170,teleop-turtlesim_node-py-40,1697135129,18.17,0.00
171,teleop-movefb-py-40,1697135355,23.85,541549.79
172,teleop-turtlesim_node-py-40,1697135355,21.41,0.00
173,teleop-movefb-py-40,1697135582,20.23,576475.93
174,teleop-turtlesim_node-py-40,1697135582,17.00,0.00
175,teleop-movefb-py-40,1697135809,27.87,558103.66
176,teleop-turtlesim_node-py-40,1697135809,24.19,0.00
177,teleop-movefb-py-40,1697136036,21.98,568156.41
178,teleop-turtlesim_node-py-40,1697136036,19.61,0.00
179,teleop-movefb-py-40,1697136264,20.46,570220.57
180,teleop-turtlesim_node-py-40,1697136264,19.68,0.00
181,teleop-movefb-py-40,1697136491,19.83,565577.42
182,teleop-turtlesim_node-py-40,1697136491,17.22,0.00
183,teleop-movefb-py-40,1697136718,25.74,499199.69
184,teleop-turtlesim_node-py-40,1697136718,26.46,0.00
185,teleop-movefb-py-40,1697136945,18.81,540986.22
186,teleop-turtlesim_node-py-40,1697136945,16.66,0.00
187,teleop-movefb-py-40,1697137171,22.68,542057.48
188,teleop-turtlesim_node-py-40,1697137171,20.97,0.00
189,teleop-movefb-py-40,1697137399,20.47,562501.54
190,teleop-turtlesim_node-py-40,1697137399,17.99,0.00
191,teleop-movefb-py-40,1697137424,24.00,409312.00
192,teleop-turtlesim_node-py-40,1697137424,7.18,0.00
193,teleop-movefb-py-40,1697137671,20.84,0.00
194,teleop-turtlesim_node-py-40,1697137671,21.84,0.00
195,teleop-movefb-py-40,1697137897,34.04,580137.13
196,teleop-turtlesim_node-py-40,1697137897,34.94,0.00
197,teleop-movefb-py-40,1697138123,31.11,552838.73
198,teleop-turtlesim_node-py-40,1697138123,25.50,0.00
199,teleop-movefb-py-40,1697138350,22.73,559901.43
200,teleop-turtlesim_node-py-40,1697138350,19.85,0.00
201,teleop-movefb-cpp-1,1697138583,134.38,553756.99
202,teleop-turtlesim_node-cpp-1,1697138583,177.88,497447.58
203,teleop-movefb-cpp-1,1697138797,135.77,554507.00
204,teleop-turtlesim_node-cpp-1,1697138797,175.68,432671.88
205,teleop-movefb-cpp-1,1697139010,135.92,555324.05
206,teleop-turtlesim_node-cpp-1,1697139010,178.68,563763.44
207,teleop-movefb-cpp-1,1697139223,137.67,554515.88
208,teleop-turtlesim_node-cpp-1,1697139223,176.54,497436.64
209,teleop-movefb-cpp-1,1697139437,137.04,557790.40
210,teleop-turtlesim_node-cpp-1,1697139437,174.73,498174.68
211,teleop-movefb-cpp-1,1697139650,135.20,555011.79
212,teleop-turtlesim_node-cpp-1,1697139650,177.78,498217.24
213,teleop-movefb-cpp-1,1697139863,137.20,554802.20
214,teleop-turtlesim_node-cpp-1,1697139863,176.24,563753.72
215,teleop-movefb-cpp-1,1697140077,136.25,554457.73
216,teleop-turtlesim_node-cpp-1,1697140077,179.58,498207.71
217,teleop-movefb-cpp-1,1697140290,135.84,556962.81
218,teleop-turtlesim_node-cpp-1,1697140290,178.20,431996.78
219,teleop-movefb-cpp-1,1697140504,136.41,557790.40
220,teleop-turtlesim_node-cpp-1,1697140504,178.86,563748.34
221,teleop-movefb-cpp-1,1697140718,136.71,554482.44
222,teleop-turtlesim_node-cpp-1,1697140718,175.41,563747.32
223,teleop-movefb-cpp-1,1697140931,135.63,557782.93
224,teleop-turtlesim_node-cpp-1,1697140931,178.38,432638.39
225,teleop-movefb-cpp-1,1697141145,136.10,554931.55
226,teleop-turtlesim_node-cpp-1,1697141145,175.16,497567.55
227,teleop-movefb-cpp-1,1697141358,135.12,554441.62
228,teleop-turtlesim_node-cpp-1,1697141358,178.54,563745.92
229,teleop-movefb-cpp-1,1697141572,138.11,557823.98
230,teleop-turtlesim_node-cpp-1,1697141572,176.14,562876.85
231,teleop-movefb-cpp-1,1697141785,134.69,554491.27
232,teleop-turtlesim_node-cpp-1,1697141785,177.20,563746.91
233,teleop-movefb-cpp-1,1697141999,138.30,557831.38
234,teleop-turtlesim_node-cpp-1,1697141999,175.63,498208.59
235,teleop-movefb-cpp-1,1697142212,138.80,557004.96
236,teleop-turtlesim_node-cpp-1,1697142212,177.23,498209.63
237,teleop-movefb-cpp-1,1697142426,135.56,555703.47
238,teleop-turtlesim_node-cpp-1,1697142426,178.70,432694.97
239,teleop-movefb-cpp-1,1697142639,138.02,556077.86
240,teleop-turtlesim_node-cpp-1,1697142639,176.84,563746.48
241,teleop-movefb-cpp-10,1697142863,82.19,549896.48
242,teleop-turtlesim_node-cpp-10,1697142863,61.41,567499.53
243,teleop-movefb-cpp-10,1697143077,82.28,549741.70
244,teleop-turtlesim_node-cpp-10,1697143077,61.47,567157.83
245,teleop-movefb-cpp-10,1697143291,85.67,553466.55
246,teleop-turtlesim_node-cpp-10,1697143291,59.47,0.00
247,teleop-movefb-cpp-10,1697143504,83.92,554735.01
248,teleop-turtlesim_node-cpp-10,1697143504,56.59,568720.93
249,teleop-movefb-cpp-10,1697143718,84.62,549044.25
250,teleop-turtlesim_node-cpp-10,1697143718,54.85,0.00
251,teleop-movefb-cpp-10,1697143931,85.43,553709.19
252,teleop-turtlesim_node-cpp-10,1697143931,61.92,0.00
253,teleop-movefb-cpp-10,1697144146,83.20,540377.54
254,teleop-turtlesim_node-cpp-10,1697144146,59.57,0.00
255,teleop-movefb-cpp-10,1697144361,83.61,538731.31
256,teleop-turtlesim_node-cpp-10,1697144361,62.95,0.00
257,teleop-movefb-cpp-10,1697144574,83.58,553944.42
258,teleop-turtlesim_node-cpp-10,1697144574,58.19,0.00
259,teleop-movefb-cpp-10,1697144787,85.56,555675.80
260,teleop-turtlesim_node-cpp-10,1697144787,58.25,0.00
261,teleop-movefb-cpp-10,1697145000,84.40,553664.32
262,teleop-turtlesim_node-cpp-10,1697145000,55.90,0.00
263,teleop-movefb-cpp-10,1697145215,82.28,541258.68
264,teleop-turtlesim_node-cpp-10,1697145215,60.13,0.00
265,teleop-movefb-cpp-10,1697145428,90.47,556499.76
266,teleop-turtlesim_node-cpp-10,1697145428,64.27,566038.02
267,teleop-movefb-cpp-10,1697145643,86.84,539825.97
268,teleop-turtlesim_node-cpp-10,1697145643,63.97,0.00
269,teleop-movefb-cpp-10,1697145856,83.92,553708.99
270,teleop-turtlesim_node-cpp-10,1697145856,56.65,0.00
271,teleop-movefb-cpp-10,1697146071,84.34,537493.50
272,teleop-turtlesim_node-cpp-10,1697146071,56.55,0.00
273,teleop-movefb-cpp-10,1697146284,85.60,555472.25
274,teleop-turtlesim_node-cpp-10,1697146284,61.74,0.00
275,teleop-movefb-cpp-10,1697146497,86.06,548778.56
276,teleop-turtlesim_node-cpp-10,1697146497,61.79,0.00
277,teleop-movefb-cpp-10,1697146711,85.17,550358.26
278,teleop-turtlesim_node-cpp-10,1697146711,59.99,0.00
279,teleop-movefb-cpp-10,1697146924,89.52,545125.08
280,teleop-turtlesim_node-cpp-10,1697146924,65.47,0.00
281,teleop-movefb-cpp-20,1697147149,53.75,537210.46
