label,timestamp,cpu,mem
talker_cpp,1696605470,0.0,104892
talker_cpp,1696605513,0.0,105920
talker_cpp,1696605556,0.0,105916
talker_cpp,1696605598,0.0,105916
talker_cpp,1696605641,0.0,104892
talker_cpp,1696605683,0.0,105920
talker_cpp,1696605725,0.0,105920
talker_cpp,1696605767,0.0,104888
talker_cpp,1696605810,0.0,105916
talker_cpp,1696605853,0.0,104888
talker_cpp,1696605896,0.0,104888
talker_cpp,1696605940,0.0,104888
talker_cpp,1696605983,0.0,105920
talker_cpp,1696606026,0.0,105916
talker_cpp,1696606069,0.0,105916
talker_cpp,1696606111,0.0,105920
talker_cpp,1696606154,0.0,105916
talker_cpp,1696606197,0.0,105916
talker_cpp,1696606239,0.0,104888
talker_cpp,1696606281,0.0,105920
talker_cpp,1696606323,0.0,105920
talker_cpp,1696606365,0.0,105920
talker_cpp,1696606407,0.0,105916
talker_cpp,1696606450,0.0,105916
talker_cpp,1696606492,0.0,105916
talker_cpp,1696606535,0.0,105920
talker_cpp,1696606578,0.0,105920
talker_cpp,1696606620,0.0,104888
talker_cpp,1696606663,0.0,104892
talker_cpp,1696606705,0.0,104892
talker_cpp,1696606748,0.0,105920
talker_cpp,1696606790,0.0,105920
talker_cpp,1696606832,0.0,104892
talker_cpp,1696606874,0.0,105916
talker_cpp,1696606916,0.0,105920
talker_cpp,1696606959,0.0,104892
talker_cpp,1696607001,0.0,104892
talker_cpp,1696607044,0.0,105916
talker_cpp,1696607088,0.0,104892
talker_cpp,1696607131,0.0,105920
talker_cpp,1696607173,0.0,105924
talker_cpp,1696607216,0.0,104888
talker_cpp,1696607260,0.0,105920
talker_cpp,1696607303,0.0,104892
talker_cpp,1696607346,0.0,104892
talker_cpp,1696607388,0.0,105916
talker_cpp,1696607431,0.0,105920
talker_cpp,1696607473,0.0,104888
talker_cpp,1696607517,0.0,105924
talker_cpp,1696607560,0.0,105920
talker_cpp,1696607603,0.0,105916
talker_cpp,1696607646,0.0,105920
talker_cpp,1696607689,0.0,105916
talker_cpp,1696607732,0.0,105916
talker_cpp,1696607775,0.0,104892
talker_cpp,1696607818,0.0,104892
talker_cpp,1696607861,0.0,104892
talker_cpp,1696607904,0.0,105916
talker_cpp,1696607947,0.0,105916
talker_cpp,1696607991,0.0,105920
talker_cpp,1696608033,0.0,105916
talker_cpp,1696608076,0.0,105916
talker_cpp,1696608119,0.0,105920
talker_cpp,1696608162,0.0,104892
talker_cpp,1696608205,0.0,104892
talker_cpp,1696608248,0.0,105916
talker_cpp,1696608291,0.0,105916
talker_cpp,1696608334,0.0,105920
talker_cpp,1696608376,0.0,105916
talker_cpp,1696608419,0.0,105916
talker_cpp,1696608463,0.0,105920
talker_cpp,1696608506,0.0,105916
talker_cpp,1696608549,0.0,105916
talker_cpp,1696608592,0.0,105920
talker_cpp,1696608635,0.0,105916
talker_cpp,1696608678,0.0,104888
talker_cpp,1696608721,0.0,105920
talker_cpp,1696608764,0.0,105920
talker_cpp,1696608806,0.0,105916
talker_cpp,1696608849,0.0,98880
talker_cpp,1696608893,0.0,105920
talker_cpp,1696608936,0.0,104888
talker_cpp,1696608979,0.0,104892
talker_cpp,1696609022,0.0,104892
talker_cpp,1696609065,0.0,105920
talker_cpp,1696609108,0.0,98616
talker_cpp,1696609151,0.0,102444
talker_cpp,1696609196,0.0,104888
talker_cpp,1696609239,0.0,105916
talker_cpp,1696609282,0.0,105916
talker_cpp,1696609325,0.0,105916
talker_cpp,1696609368,0.0,105916
talker_cpp,1696609411,0.0,105920
talker_cpp,1696609454,0.0,105920
talker_cpp,1696609496,0.0,105920
talker_cpp,1696609539,0.0,104892
talker_cpp,1696609581,0.0,105920
talker_cpp,1696609625,0.0,104888
talker_cpp,1696609668,0.0,104888
talker_cpp,1696609711,0.0,105916
