label,timestamp,duration,pkg,dram,socket
pub_py_1,1696948607.949156,50858739.617,419919763.0,41595170.0,0
sub_py_1,1696948608.4292648,51884709.331,427125189.0,42398146.0,0
pub_py_1,1696948665.9214516,50846620.754,402870490.0,40703387.0,0
sub_py_1,1696948666.4150066,51857609.877,411441635.0,41659928.0,0
pub_py_1,1696948723.9840736,50841513.679,412333783.0,41011431.0,0
sub_py_1,1696948724.4864268,51859717.866,422082415.0,41979751.0,0
pub_py_1,1696948781.9128041,50836530.07,411916426.0,40894915.0,0
sub_py_1,1696948782.4075718,51848104.399,421368855.0,41898879.0,0
pub_py_1,1696948839.8750732,50845086.571,415772862.0,41284440.0,0
sub_py_1,1696948840.3740115,51852459.076,425529062.0,42255812.0,0
pub_py_1,1696948897.8334537,50863981.233,426764227.0,36795133.0,0
sub_py_1,1696948898.3235593,51882623.448,434191942.0,37287258.0,0
pub_py_1,1696948955.9323967,50852768.091,386526354.0,21702032.0,0
sub_py_1,1696948956.4348643,51857982.061,395432155.0,22378422.0,0
pub_py_1,1696949013.8572118,50840405.496,378257211.0,21547370.0,0
sub_py_1,1696949014.3562014,51857202.0,387534835.0,22184941.0,0
pub_py_1,1696949071.7832453,50842569.07,455061762.0,33986180.0,0
sub_py_1,1696949072.2838464,51862942.436,465573088.0,35193270.0,0
pub_py_1,1696949129.7320948,50844890.85,421546955.0,42046707.0,0
sub_py_1,1696949130.2660656,51822962.305,429861692.0,42847669.0,0
pub_py_1,1696949187.6474845,50838516.871,413355387.0,41040362.0,0
sub_py_1,1696949188.141686,51852423.314,421995319.0,41992446.0,0
pub_py_1,1696949245.7024274,50845377.973,403448003.0,40477130.0,0
sub_py_1,1696949246.2045975,51842466.337,413079875.0,41455826.0,0
pub_py_1,1696949303.629744,50840966.333,401285716.0,40352619.0,0
sub_py_1,1696949304.126379,51867393.46,411727340.0,41392350.0,0
pub_py_1,1696949361.5522592,50840020.806,403173894.0,40433429.0,0
sub_py_1,1696949362.0530736,51850128.568,412648175.0,41413835.0,0
pub_py_1,1696949419.467527,50845890.904,421462422.0,36013213.0,0
sub_py_1,1696949419.9723556,51856817.501,430712459.0,36618375.0,0
pub_py_1,1696949477.527063,50847858.69,394763516.0,22540958.0,0
sub_py_1,1696949478.0301485,51854251.961,403860966.0,23171755.0,0
pub_py_1,1696949535.459097,50837178.444,379968144.0,21557928.0,0
sub_py_1,1696949535.9593527,51858237.8,388944072.0,22241398.0,0
pub_py_1,1696949593.3678267,50834299.095,385600942.0,21932561.0,0
sub_py_1,1696949593.8652894,51848820.216,394366300.0,22549686.0,0
pub_py_1,1696949651.2687218,50851218.833,379147467.0,21659247.0,0
sub_py_1,1696949651.7696319,51853832.619,386762133.0,22274540.0,0
pub_py_1,1696949709.3248963,50842236.676,384062371.0,21915471.0,0
sub_py_1,1696949709.826381,51849261.308,391985568.0,22542484.0,0
pub_py_1,1696949767.3846512,50852240.746,388604168.0,22244816.0,0
sub_py_1,1696949767.885624,51849544.543,396929770.0,22845278.0,0
pub_py_1,1696949825.3273554,50856808.285,387123276.0,22244755.0,0
sub_py_1,1696949825.8664682,51846702.289,391134741.0,22696353.0,0
pub_py_1,1696949883.344833,50840131.291,382505612.0,21845465.0,0
sub_py_1,1696949883.8496213,51847527.651,390979773.0,22492557.0,0
