label,timestamp,duration,pkg,dram,socket
pub_py4,1696851568.93737,50875037.92,522119147.0,53040818.0,0
sub_py4,1696851568.937486,52378186.796,535673434.0,54382490.0,0
pub_py4,1696851621.8394551,50832926.215,419538599.0,43744944.0,0
sub_py4,1696851621.8395617,52336464.724,434281420.0,45132269.0,0
pub_py4,1696851674.7989416,50838473.567,448532849.0,44206796.0,0
sub_py4,1696851674.7940972,52344160.463,468148704.0,46052556.0,0
pub_py4,1696851727.818277,50890843.268,557118325.0,57651158.0,0
sub_py4,1696851727.8315833,52359585.372,576890796.0,59544708.0,0
pub_py4,1696851780.7996294,50849510.691,461543069.0,46440433.0,0
sub_py4,1696851780.7897918,52364124.526,475889834.0,47924072.0,0
pub_py4,1696851833.8283603,50846310.413,526033017.0,52815599.0,0
sub_py4,1696851833.8323092,52337724.088,544281261.0,54716779.0,0
pub_py4,1696851886.8832266,50877664.012,601484728.0,54334455.0,0
sub_py4,1696851886.9059663,52354827.048,614610060.0,55712137.0,0
pub_py4,1696851939.9430933,50853205.858,528820668.0,51247855.0,0
sub_py4,1696851939.9458952,52349177.446,546674321.0,52913256.0,0
pub_py4,1696851992.9178398,50842536.433,586594019.0,55012249.0,0
sub_py4,1696851992.9362087,52345450.062,609516567.0,56904457.0,0
pub_py4,1696852046.0591693,50880696.255,578752119.0,53865890.0,0
sub_py4,1696852046.056755,52382405.832,604725930.0,56173501.0,0
pub_py4,1696852099.0820675,50860111.133,605540320.0,56158182.0,0
sub_py4,1696852099.082153,52358976.415,620238097.0,57614843.0,0
pub_py4,1696852152.0092056,50866564.943,497360787.0,48973752.0,0
sub_py4,1696852152.0091367,52365929.322,512285492.0,50493157.0,0
pub_py4,1696852205.121239,50921865.134,534714879.0,55086590.0,0
sub_py4,1696852205.1135032,52436864.555,549665646.0,56583901.0,0
pub_py4,1696852258.2562518,50853650.985,465056671.0,45772405.0,0
sub_py4,1696852258.2523856,52358083.913,476478761.0,47031801.0,0
pub_py4,1696852311.3179777,50855120.184,591441357.0,55069623.0,0
sub_py4,1696852311.3179986,52360732.558,611866476.0,56950416.0,0
pub_py4,1696852364.477064,50858410.898,601897812.0,58772188.0,0
sub_py4,1696852364.4834414,52350761.054,627074078.0,60976650.0,0
pub_py4,1696852417.4272296,50844137.181,554231858.0,53104539.0,0
sub_py4,1696852417.4270368,52340893.493,568214549.0,54471662.0,0
pub_py4,1696852470.3677943,50850205.822,516660604.0,52397144.0,0
sub_py4,1696852470.364527,52351776.128,531646283.0,53905441.0,0
pub_py4,1696852523.236946,50871066.873,442007047.0,47142641.0,0
sub_py4,1696852523.2333553,52378824.938,455089961.0,48489072.0,0
pub_py4,1696852576.1069393,50835382.352,462584448.0,47809814.0,0
sub_py4,1696852576.1069398,52336362.089,481275623.0,49615474.0,0
pub_py4,1696852629.0992768,50847802.523,509762795.0,52343799.0,0
sub_py4,1696852629.0992587,52348671.848,529271106.0,54237837.0,0
pub_py4,1696852681.9784734,50838014.559,580718179.0,59149323.0,0
sub_py4,1696852681.9842951,52337474.53,600729419.0,61097316.0,0
pub_py4,1696852734.8923712,50834449.699,398664141.0,40714129.0,0
sub_py4,1696852734.892381,52339439.025,411934615.0,42076674.0,0
pub_py4,1696852787.7629225,50874362.146,419316432.0,43483409.0,0
sub_py4,1696852787.7628272,52374857.079,432453666.0,44833931.0,0
pub_py4,1696852840.6505191,50847316.121,391119726.0,40922686.0,0
sub_py4,1696852840.649432,52350812.525,404396243.0,42271437.0,0
pub_py4,1696852893.4874406,50838421.825,392825288.0,41534928.0,0
sub_py4,1696852893.4874501,52346327.277,406893245.0,42955945.0,0
pub_py4,1696852946.3931198,50842188.912,395454554.0,41522293.0,0
sub_py4,1696852946.3931203,52338635.542,409193228.0,42896618.0,0
pub_py4,1696852999.3667905,50839947.633,404537050.0,42715894.0,0
sub_py4,1696852999.3682175,52334033.387,418004362.0,44078378.0,0
