label,timestamp,duration,pkg,dram,socket
pub_py_1,1697204110.3866622,50953376.58,396440635.0,24463377.0,0
sub_py_1,1697204110.8767896,51932374.665,405628478.0,25325680.0,0
pub_py_1,1697204173.5530522,50850207.842,378910346.0,21771917.0,0
sub_py_1,1697204174.0558803,51848332.71,390036049.0,22795840.0,0
pub_py_1,1697204236.5301409,50847176.418,371564479.0,21340095.0,0
sub_py_1,1697204237.029323,51850476.498,382574583.0,22435795.0,0
pub_py_1,1697204299.600265,50845962.085,370722134.0,21281867.0,0
sub_py_1,1697204300.0966191,51859501.263,382433958.0,22357791.0,0
pub_py_1,1697204362.6502182,50846821.828,376496289.0,21645269.0,0
sub_py_1,1697204363.1500094,51847703.048,388205732.0,22713199.0,0
pub_py_1,1697204425.6984568,50837755.27,375069963.0,21467291.0,0
sub_py_1,1697204426.1964922,51844380.213,385087821.0,22437748.0,0
pub_py_1,1697204488.7609804,50845059.035,377287974.0,21504767.0,0
sub_py_1,1697204489.2615895,51849201.666,389135418.0,22558720.0,0
pub_py_1,1697204551.6774213,50840936.469,381106446.0,21999455.0,0
sub_py_1,1697204552.1799746,51838664.607,392676790.0,22932437.0,0
pub_py_1,1697204614.6341465,50846026.731,379698673.0,21862371.0,0
sub_py_1,1697204615.1312149,51852340.474,393001618.0,22946170.0,0
pub_py_1,1697204677.7277591,50851242.12,377542185.0,21631170.0,0
sub_py_1,1697204678.230914,51849942.824,387232163.0,22538517.0,0
pub_py_1,1697204740.8181157,50845398.017,384480583.0,21942570.0,0
sub_py_1,1697204741.319077,51843931.25,395620875.0,22865298.0,0
pub_py_1,1697204803.8090398,50847530.796,380209903.0,21786199.0,0
sub_py_1,1697204804.3087132,51854004.003,391792637.0,22788149.0,0
pub_py_1,1697204866.9088967,50846212.029,377746714.0,21625677.0,0
sub_py_1,1697204867.4130049,51849514.637,387289414.0,22526065.0,0
pub_py_1,1697204929.9742875,50844702.278,380464419.0,21839299.0,0
sub_py_1,1697204930.4789758,51839980.977,391696812.0,22861270.0,0
pub_py_1,1697204992.9354415,50849764.264,377493235.0,21615118.0,0
sub_py_1,1697204993.438717,51849235.201,388690289.0,22675174.0,0
pub_py_1,1697205056.031,50842072.995,376293776.0,21348151.0,0
sub_py_1,1697205056.5378022,51845975.067,386144092.0,22324528.0,0
pub_py_1,1697205119.119532,50892394.063,386719896.0,21942814.0,0
sub_py_1,1697205119.634159,51852531.483,395411951.0,22896975.0,0
pub_py_1,1697205182.2050414,50848420.004,376385633.0,21433539.0,0
sub_py_1,1697205182.7104998,51844475.622,386393359.0,22356083.0,0
pub_py_1,1697205245.2987676,51850931.587,375491654.0,21329413.0,0
sub_py_1,1697205245.7958698,52867437.655,386818834.0,22360356.0,0
pub_py_1,1697205309.36419,50853399.249,382406614.0,21899480.0,0
sub_py_1,1697205309.8480175,51877905.688,394368375.0,22906619.0,0
pub_py_10,1697205382.4855976,50877239.948,430063352.0,25017758.0,0
sub_py_10,1697205383.2373662,51706447.946,425284800.0,25127804.0,0
sub_py_10,1697205383.4013283,51545809.275,419041591.0,24716428.0,0
sub_py_10,1697205383.441704,51518201.762,417795683.0,24666929.0,0
sub_py_10,1697205383.2374349,51727667.991,425659005.0,25195797.0,0
sub_py_10,1697205383.553148,51413011.623,413501810.0,24451475.0,0
sub_py_10,1697205383.4012516,51571303.121,419735132.0,24797055.0,0
sub_py_10,1697205383.4122639,51560217.271,419234828.0,24772092.0,0
sub_py_10,1697205383.515517,51473467.496,415729954.0,24606138.0,0
sub_py_10,1697205383.4019248,51587195.029,420032189.0,24850766.0,0
sub_py_10,1697205383.2962239,51700551.717,424233961.0,25144162.0,0
pub_py_10,1697205445.921523,50865633.25,427989810.0,24802915.0,0
sub_py_10,1697205446.9592576,51394177.03,409739796.0,24166747.0,0
sub_py_10,1697205446.9740329,51384023.3,409743031.0,24146545.0,0
sub_py_10,1697205446.7362587,51622750.542,418946071.0,24730283.0,0
sub_py_10,1697205446.9344728,51440919.357,411264145.0,24293883.0,0
sub_py_10,1697205446.7363195,51641096.159,419051417.0,24765867.0,0
sub_py_10,1697205446.8587668,51507348.883,414089333.0,24489073.0,0
sub_py_10,1697205446.8417523,51545044.388,415752903.0,24528624.0,0
sub_py_10,1697205446.7237518,51664944.908,419818628.0,24883115.0,0
sub_py_10,1697205446.70057,51706047.242,421138997.0,24953916.0,0
sub_py_10,1697205447.0194175,51391942.872,408794242.0,24214477.0,0
pub_py_10,1697205509.3247893,50914643.374,428276858.0,24676999.0,0
sub_py_10,1697205510.350968,51450613.097,414069862.0,24149291.0,0
sub_py_10,1697205510.2249258,51576907.741,418867030.0,24428160.0,0
sub_py_10,1697205510.0940862,51707860.228,424033094.0,24787351.0,0
sub_py_10,1697205510.1777587,51664078.531,421928058.0,24686704.0,0
sub_py_10,1697205510.3337374,51514271.688,416281405.0,24335815.0,0
sub_py_10,1697205510.1500652,51700646.4,422902849.0,24792966.0,0
sub_py_10,1697205510.4217427,51431120.217,412877117.0,24187255.0,0
sub_py_10,1697205510.1868052,51669470.251,421636494.0,24711179.0,0
sub_py_10,1697205510.0939054,51770096.195,425359873.0,24973446.0,0
sub_py_10,1697205510.4626257,51446722.27,412156049.0,24273192.0,0
sub_py_10,1697205573.8767228,2657754.228,39880818.0,2420343.0,0
pub_py_10,1697205572.781164,50877087.135,434508898.0,25482235.0,0
sub_py_10,1697205573.7937222,51433954.89,421218221.0,24996579.0,0
sub_py_10,1697205573.5426793,51686649.283,430835994.0,25607601.0,0
sub_py_10,1697205573.6694,51560038.799,426029671.0,25291562.0,0
sub_py_10,1697205573.689902,51555919.023,425620370.0,25291318.0,0
sub_py_10,1697205573.7226639,51525896.966,424474378.0,25216671.0,0
sub_py_10,1697205573.5457263,51715980.029,431615350.0,25705013.0,0
sub_py_10,1697205573.5878444,51673812.788,429976438.0,25590694.0,0
sub_py_10,1697205573.8096416,51456146.117,421465108.0,25098447.0,0
sub_py_10,1697205573.617847,51651088.747,428987855.0,25542781.0,0
pub_py_10,1697205636.1787407,50875076.273,439289585.0,25656612.0,0
sub_py_10,1697205636.955861,51653158.216,434205676.0,25641963.0,0
sub_py_10,1697205637.002955,51606444.859,432446647.0,25516841.0,0
sub_py_10,1697205637.1191757,51498405.885,428087405.0,25259213.0,0
sub_py_10,1697205637.0346465,51583040.117,431845574.0,25464717.0,0
sub_py_10,1697205636.9391282,51718251.538,436014753.0,25849604.0,0
sub_py_10,1697205637.3388264,51321472.267,420624229.0,24932248.0,0
sub_py_10,1697205637.20388,51462143.71,425911447.0,25235104.0,0
sub_py_10,1697205637.1217268,51563487.839,430151792.0,25476864.0,0
sub_py_10,1697205637.1124108,51586321.728,430309079.0,25543392.0,0
sub_py_10,1697205637.180082,51525895.828,427832584.0,25420345.0,0
pub_py_10,1697205699.6048434,50916756.763,431215265.0,24853147.0,0
sub_py_10,1697205700.34893,51742670.797,427648197.0,24975644.0,0
sub_py_10,1697205700.4898021,51603749.546,422793839.0,24640562.0,0
sub_py_10,1697205700.5463839,51543075.968,419951257.0,24510679.0,0
sub_py_10,1697205700.6654663,51436528.547,415624913.0,24268798.0,0
sub_py_10,1697205700.4537928,51669695.392,424541638.0,24821165.0,0
sub_py_10,1697205700.6090424,51521392.009,418637967.0,24484617.0,0
sub_py_10,1697205700.3963618,51735438.727,426993658.0,24987058.0,0
sub_py_10,1697205700.6089413,51528509.465,419181910.0,24517454.0,0
sub_py_10,1697205700.473758,51681801.435,425026927.0,24880857.0,0
sub_py_10,1697205700.4091496,51761203.884,427543583.0,25088559.0,0
