label,timestamp,duration,pkg,dram,socket
teleop_pub_py_1,1697116178.4181058,211091648.948,3206618989.0,105181371.0,0
teleop_sub_py_1,1697116178.929038,212371065.479,3217590517.0,105919040.0,0
teleop_pub_py_1,1697116401.9367063,211125243.277,3173142512.0,112194232.0,0
teleop_sub_py_1,1697116402.443132,212416066.163,3186288779.0,113150528.0,0
teleop_pub_py_1,1697116625.5364945,211087677.429,3234173178.0,110718772.0,0
teleop_sub_py_1,1697116626.0455348,212366369.752,3249706463.0,111764606.0,0
teleop_pub_py_1,1697116848.990435,211148089.77,3201703840.0,113087174.0,0
teleop_sub_py_1,1697116849.5152733,212402395.401,3211300373.0,113853590.0,0
teleop_pub_py_1,1697117072.57958,211093470.402,3228616857.0,106897736.0,0
teleop_sub_py_1,1697117073.086512,212375627.715,3240790775.0,107726409.0,0
teleop_pub_py_1,1697117296.1597607,211092234.534,3209387292.0,106940583.0,0
teleop_sub_py_1,1697117296.6664743,212379402.202,3220988153.0,107741118.0,0
teleop_pub_py_1,1697117519.777015,211097354.34,3195681211.0,104581458.0,0
teleop_sub_py_1,1697117520.2747593,212388240.814,3207372465.0,105384618.0,0
teleop_pub_py_1,1697117743.3143432,211094282.22,3238227855.0,106910920.0,0
teleop_sub_py_1,1697117743.8182213,212385881.804,3250499492.0,107761626.0,0
teleop_pub_py_1,1697117966.933157,211092673.857,3207652921.0,106886934.0,0
teleop_sub_py_1,1697117967.4340074,212383002.113,3220074581.0,107711456.0,0
teleop_pub_py_1,1697118190.3854523,211093751.048,3207358672.0,107045258.0,0
teleop_sub_py_1,1697118190.8899438,212380986.749,3218910095.0,107808623.0,0
teleop_pub_py_1,1697118413.8356557,211093383.304,3206029085.0,106797700.0,0
teleop_sub_py_1,1697118414.3354456,212388895.255,3217255924.0,107593902.0,0
teleop_pub_py_1,1697118637.2826416,211086530.412,3241689883.0,106601900.0,0
teleop_sub_py_1,1697118637.7863383,212373293.607,3253237826.0,107382537.0,0
teleop_pub_py_1,1697118860.877107,211085193.231,3200578599.0,107424225.0,0
teleop_sub_py_1,1697118861.3797534,212376045.265,3212261063.0,108242520.0,0
teleop_pub_py_1,1697119084.4215002,211095117.723,3208093716.0,107693145.0,0
teleop_sub_py_1,1697119084.9261975,212382420.874,3219151854.0,108462186.0,0
teleop_pub_py_1,1697119307.882222,211080734.492,3237847851.0,107371002.0,0
teleop_sub_py_1,1697119308.384403,212373374.833,3250620279.0,108243375.0,0
teleop_pub_py_1,1697119531.3201125,211082952.074,3243021239.0,108209562.0,0
teleop_sub_py_1,1697119531.8271413,212368399.666,3254456696.0,108981349.0,0
teleop_pub_py_1,1697119754.9164746,211098423.367,3205087986.0,107321319.0,0
teleop_sub_py_1,1697119755.41921,212387678.026,3217221134.0,108155241.0,0
teleop_pub_py_1,1697119978.5267062,211099164.252,3207778897.0,108772548.0,0
teleop_sub_py_1,1697119979.0279183,212389283.238,3221415704.0,109682764.0,0
teleop_pub_py_1,1697120202.03788,211092263.536,3216215095.0,106411166.0,0
teleop_sub_py_1,1697120202.5394366,212371988.277,3227975013.0,107267791.0,0
teleop_pub_py_1,1697120425.6110556,211097547.791,3233968222.0,106712374.0,0
teleop_sub_py_1,1697120426.115467,212378265.453,3246421987.0,107616485.0,0
teleop_pub_py_10,1697120659.162821,211377337.106,3291296933.0,346869534.0,0
teleop_sub_py_10,1697120660.0464942,212375323.404,3283664445.0,346601957.0,0
teleop_sub_py_10,1697120660.1094127,212319280.299,3281523765.0,346485074.0,0
teleop_sub_py_10,1697120659.9339073,212511888.109,3288593876.0,346966214.0,0
teleop_sub_py_10,1697120660.2886956,212167132.441,3275542335.0,346253081.0,0
teleop_sub_py_10,1697120660.0539858,212411346.55,3284572890.0,346728849.0,0
teleop_sub_py_10,1697120660.0670514,212392093.946,3283885758.0,346696866.0,0
teleop_sub_py_10,1697120660.0066564,212475105.648,3287291084.0,346894497.0,0
teleop_sub_py_10,1697120660.1635506,212319573.919,3280865991.0,346559659.0,0
teleop_sub_py_10,1697120660.1620708,212333180.108,3281242942.0,346604399.0,0
teleop_sub_py_10,1697120660.0755434,212450952.86,3285267041.0,346881802.0,0
teleop_pub_py_10,1697120883.3941536,211338837.212,3246390859.0,348834129.0,0
teleop_sub_py_10,1697120884.412281,212197805.543,3234206747.0,348267419.0,0
teleop_sub_py_10,1697120884.3186724,212292723.717,3238101635.0,348461144.0,0
teleop_sub_py_10,1697120884.2910688,212330253.286,3238918405.0,348553857.0,0
teleop_sub_py_10,1697120884.43865,212188597.514,3234158529.0,348271875.0,0
teleop_sub_py_10,1697120884.496011,212145172.64,3231965481.0,348217554.0,0
teleop_sub_py_10,1697120884.3389924,212332319.664,3238440013.0,348609032.0,0
teleop_sub_py_10,1697120884.2442513,212430514.68,3242035463.0,348838706.0,0
teleop_sub_py_10,1697120884.2307408,212465669.933,3243047728.0,348940452.0,0
teleop_sub_py_10,1697120884.270649,212427308.65,3242137086.0,348881553.0,0
teleop_sub_py_10,1697120884.19499,212522287.243,3244804316.0,349100913.0,0
teleop_pub_py_10,1697121107.379012,211334443.916,3242771117.0,348918601.0,0
teleop_sub_py_10,1697121108.550239,212036423.302,3230589508.0,348390283.0,0
teleop_sub_py_10,1697121108.1957264,212394493.625,3243360106.0,349152060.0,0
teleop_sub_py_10,1697121108.1633115,212432610.23,3244637568.0,349242941.0,0
teleop_sub_py_10,1697121108.1623564,212448533.156,3245071893.0,349295249.0,0
teleop_sub_py_10,1697121108.5546558,212067717.025,3231926846.0,348499290.0,0
teleop_sub_py_10,1697121108.5660603,212066539.861,3231223112.0,348507164.0,0
teleop_sub_py_10,1697121108.524749,212108970.087,3232754908.0,348602013.0,0
teleop_sub_py_10,1697121108.4430258,212197730.199,3235805437.0,348784324.0,0
teleop_sub_py_10,1697121108.1747844,212486618.509,3245960806.0,349434164.0,0
teleop_sub_py_10,1697121108.1613445,212515978.862,3246832020.0,349519247.0,0
teleop_pub_py_10,1697121331.560377,211321568.65,3240633427.0,346976956.0,0
teleop_sub_py_10,1697121332.3360703,212415628.172,3237789196.0,346981289.0,0
teleop_sub_py_10,1697121332.411534,212361480.668,3235617328.0,346852262.0,0
teleop_sub_py_10,1697121332.6106396,212178530.83,3229212375.0,346502043.0,0
teleop_sub_py_10,1697121332.5666497,212231315.44,3231282194.0,346608732.0,0
teleop_sub_py_10,1697121332.5266578,212281394.303,3232991541.0,346719267.0,0
teleop_sub_py_10,1697121332.516225,212298277.179,3232967248.0,346756070.0,0
teleop_sub_py_10,1697121332.589503,212231052.873,3230459320.0,346637601.0,0
teleop_sub_py_10,1697121332.6866596,212135619.096,3227243326.0,346498259.0,0
teleop_sub_py_10,1697121332.3594868,212480764.254,3239253365.0,347203884.0,0
teleop_sub_py_10,1697121332.5688286,212278031.251,3231886624.0,346766568.0,0
teleop_pub_py_10,1697121555.7379723,211392119.552,3245265557.0,346893339.0,0
teleop_sub_py_10,1697121556.5426972,212464357.187,3241627138.0,346883878.0,0
teleop_sub_py_10,1697121556.6466405,212362886.398,3237720288.0,346670805.0,0
teleop_sub_py_10,1697121556.6921344,212326289.291,3236347306.0,346600492.0,0
teleop_sub_py_10,1697121556.6616092,212361694.393,3237572217.0,346683134.0,0
teleop_sub_py_10,1697121556.6746747,212350590.71,3237669995.0,346707913.0,0
teleop_sub_py_10,1697121556.9614193,212096456.37,3227551368.0,346214567.0,0
teleop_sub_py_10,1697121556.5086915,212555080.458,3244301265.0,347154934.0,0
teleop_sub_py_10,1697121556.826318,212237385.056,3232651515.0,346486051.0,0
teleop_sub_py_10,1697121556.5695536,212535134.714,3243144591.0,347143093.0,0
teleop_sub_py_10,1697121556.6566925,212452229.175,3240104376.0,346977322.0,0
teleop_pub_py_10,1697121779.83379,211351738.602,3243552976.0,348898521.0,0
teleop_sub_py_10,1697121780.7942946,212280720.074,3234807454.0,348561913.0,0
teleop_sub_py_10,1697121780.642915,212432305.78,3240137824.0,348905723.0,0
teleop_sub_py_10,1697121780.6416848,212437635.251,3240324652.0,348923789.0,0
teleop_sub_py_10,1697121780.9946613,212094492.258,3228416968.0,348232263.0,0
teleop_sub_py_10,1697121780.745399,212353022.646,3237194288.0,348750084.0,0
teleop_sub_py_10,1697121780.7971916,212315201.658,3235735918.0,348677636.0,0
teleop_sub_py_10,1697121780.750654,212382237.096,3238382212.0,348855003.0,0
teleop_sub_py_10,1697121780.7827158,212360791.561,3237232252.0,348812705.0,0
