Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-12-07 18:49:47,0.08789808917197,19.22053200000664,19.22053200000664,0.00000000000000
2024-12-07 18:49:48,0.06766917293233,15.29976499997429,15.29976499997429,0.00000000000000
2024-12-07 18:49:49,0.09045226130653,17.98683200002415,17.98683200002415,0.00000000000000
2024-12-07 18:49:50,0.06242197253433,14.24166199998581,14.24166199998581,0.00000000000000
2024-12-07 18:49:51,0.11543287327478,20.34437000000617,20.34437000000617,0.00000000000000
2024-12-07 18:49:52,0.05520702634881,13.87014199999976,13.87014199999976,0.00000000000000
2024-12-07 18:49:53,0.06883604505632,15.01747900000191,15.01747900000191,0.00000000000000
2024-12-07 18:49:54,0.05283018867925,13.82973699999275,13.82973699999275,0.00000000000000
2024-12-07 18:49:55,0.06132665832290,14.29891400001361,14.29891400001361,0.00000000000000
2024-12-07 18:49:56,0.05296343001261,14.01681000000099,14.01681000000099,0.00000000000000
2024-12-07 18:49:57,0.05388471177945,13.72994499999913,13.72994499999913,0.00000000000000
2024-12-07 18:49:58,0.05269761606023,13.72805299999891,13.72805299999891,0.00000000000000
2024-12-07 18:49:59,0.10817610062893,16.89278000002378,16.89278000002378,0.00000000000000
2024-12-07 18:50:00,0.05882352941176,14.20504199998686,14.20504199998686,0.00000000000000
2024-12-07 18:50:01,0.05771643663739,14.21322000000509,14.21322000000509,0.00000000000000
2024-12-07 18:50:02,0.05660377358491,14.16958099999465,14.16958099999465,0.00000000000000
2024-12-07 18:50:03,0.06382978723404,14.33193400001619,14.33193400001619,0.00000000000000
2024-12-07 18:50:04,0.05283018867925,13.86397799997940,13.86397799997940,0.00000000000000
2024-12-07 18:50:05,0.05911949685535,14.54769200002193,14.54769200002193,0.00000000000000
2024-12-07 18:50:06,0.06117353308365,13.86275800000294,13.86275800000294,0.00000000000000
2024-12-07 18:50:07,0.05388471177945,13.70052600000054,13.70052600000054,0.00000000000000
2024-12-07 18:50:08,0.06132665832290,14.26400199998170,14.26400199998170,0.00000000000000
2024-12-07 18:50:09,0.06140350877193,14.46138900000369,14.46138900000369,0.00000000000000
2024-12-07 18:50:10,0.05527638190955,14.11245099999360,14.11245099999360,0.00000000000000
2024-12-07 18:50:11,0.05674653215637,14.53804899999523,14.53804899999523,0.00000000000000
2024-12-07 18:50:12,0.05541561712846,14.25942400001804,14.25942400001804,0.00000000000000
2024-12-07 18:50:13,0.06608478802993,14.36391600000206,14.36391600000206,0.00000000000000
2024-12-07 18:50:14,0.05548549810845,14.31521000000066,14.31521000000066,0.00000000000000
2024-12-07 18:50:15,0.06022584692597,14.52724600001238,14.52724600001238,0.00000000000000
2024-12-07 18:50:16,0.06351183063512,14.10036599999876,14.10036599999876,0.00000000000000
2024-12-07 18:50:17,0.05793450881612,14.77889300000970,14.77889300000970,0.00000000000000
2024-12-07 18:50:18,0.10453400503778,16.49775999999838,16.49775999999838,0.00000000000000
2024-12-07 18:50:19,0.05771643663739,14.12484199999017,14.12484199999017,0.00000000000000
2024-12-07 18:50:20,0.05778894472362,14.21901900001103,14.21901900001103,0.00000000000000
2024-12-07 18:50:21,0.06390977443609,14.72292399997241,14.72292399997241,0.00000000000000
2024-12-07 18:50:22,0.05436156763590,14.51235300002736,14.51235300002736,0.00000000000000
2024-12-07 18:50:23,0.06500000000000,14.65993499997421,14.65993499997421,0.00000000000000
2024-12-07 18:50:24,0.06132665832290,14.46163299999898,14.46163299999898,0.00000000000000
2024-12-07 18:50:25,0.04773869346734,13.42678500001784,13.42678500001784,0.00000000000000
2024-12-07 18:50:26,0.09821428571429,19.02088599998388,19.02088599998388,0.00000000000000
2024-12-07 18:50:27,0.18010075566751,23.84027100002277,23.84027100002277,0.00000000000000
2024-12-07 18:50:28,0.22333751568381,24.24737399999867,24.24737399999867,0.00000000000000
2024-12-07 18:50:29,0.10718789407314,19.71265800000401,19.71265800000401,0.00000000000000
2024-12-07 18:50:30,0.27756653992395,28.95439299999271,28.95439299999271,0.00000000000000
2024-12-07 18:50:31,0.39119496855346,32.92490399998496,32.92490399998496,0.00000000000000
2024-12-07 18:56:10,0.05018820577164,13.50332200000412,13.50332200000412,0.00000000000000
2024-12-07 18:56:11,0.11389236545682,16.82686099997954,16.82686099997954,0.00000000000000
2024-12-07 18:56:12,0.08227848101266,18.16206299999612,18.16206299999612,0.00000000000000
2024-12-07 18:56:13,0.04534005037783,13.50478700001258,13.50478700001258,0.00000000000000
2024-12-07 18:56:14,0.04893350062735,13.35250499998801,13.35250499998801,0.00000000000000
2024-12-07 18:56:15,0.04648241206030,13.38546400002087,13.38546400002087,0.00000000000000
2024-12-07 18:56:16,0.04648241206030,13.14370399998734,13.14370399998734,0.00000000000000
2024-12-07 18:56:17,0.04642409033877,13.00362900001346,13.00362900001346,0.00000000000000
2024-12-07 18:56:18,0.04145728643216,12.73989599998458,12.73989599998458,0.00000000000000
2024-12-07 18:56:19,0.04413619167718,13.21694600000046,13.21694600000046,0.00000000000000
2024-12-07 18:56:20,0.04511278195489,12.88210899999831,12.88210899999831,0.00000000000000
2024-12-07 18:56:21,0.04893350062735,13.38119200000074,13.38119200000074,0.00000000000000
2024-12-07 18:56:22,0.04271356783920,12.87704299998586,12.87704299998586,0.00000000000000
2024-12-07 18:56:23,0.04522613065327,13.33144700000412,13.33144700000412,0.00000000000000
2024-12-07 18:56:24,0.04156171284635,13.10043099999893,13.10043099999893,0.00000000000000
2024-12-07 18:56:25,0.05250000000000,13.40261400002055,13.40261400002055,0.00000000000000
