exec,label,timestamp,cpu
167,publisher,1733607298, 0.0
167,publisher,1733607298, 0.0
167,publisher,1733607299,14.0
167,publisher,1733607300,14.0
167,publisher,1733607300, 7.0
167,publisher,1733607301, 4.6
167,publisher,1733607301, 4.6
167,publisher,1733607302, 3.5
167,publisher,1733607302, 3.5
167,publisher,1733607303, 2.8
167,publisher,1733607303, 3.0
167,publisher,1733607304, 2.5
167,publisher,1733607304, 2.5
167,publisher,1733607305, 2.1
167,publisher,1733607305, 2.1
167,publisher,1733607306, 1.8
167,publisher,1733607307, 1.8
167,publisher,1733607307, 1.6
167,publisher,1733607308, 1.7
167,publisher,1733607308, 1.6
167,publisher,1733607309, 1.4
167,publisher,1733607309, 1.4
167,publisher,1733607310, 1.3
167,publisher,1733607310, 1.4
167,publisher,1733607311, 1.3
167,publisher,1733607311, 1.3
167,publisher,1733607312, 1.2
167,publisher,1733607312, 1.2
167,publisher,1733607313, 1.1
167,publisher,1733607314, 1.1
167,publisher,1733607314, 1.0
167,publisher,1733607315, 1.0
167,publisher,1733607315, 1.0
167,publisher,1733607316, 1.0
167,publisher,1733607316, 1.0
167,publisher,1733607317, 0.9
167,publisher,1733607317, 0.9
167,publisher,1733607318, 0.9
167,publisher,1733607319, 0.9
167,publisher,1733607319, 0.9
167,publisher,1733607320, 0.8
167,publisher,1733607320, 0.8
167,publisher,1733607321, 0.8
167,publisher,1733607322, 0.8
167,publisher,1733607322, 0.7
167,publisher,1733607323, 0.7
167,publisher,1733607323, 0.7
167,publisher,1733607324, 0.7
167,publisher,1733607324, 0.7
167,publisher,1733607325, 0.7
167,publisher,1733607325, 0.7
167,publisher,1733607326, 0.7
167,publisher,1733607327, 0.7
167,publisher,1733607327, 0.7
167,publisher,1733607328, 0.7
167,publisher,1733607328, 0.7
167,publisher,1733607329, 0.7
167,publisher,1733607329, 0.7
167,publisher,1733607330, 0.6
167,publisher,1733607330, 0.6
167,publisher,1733607331, 0.6
167,publisher,1733607332, 0.6
167,publisher,1733607332, 0.6
167,publisher,1733607333, 0.6
167,publisher,1733607333, 0.6
167,publisher,1733607334, 0.6
167,publisher,1733607334, 0.6
167,publisher,1733607335, 0.6
167,publisher,1733607335, 0.6
167,publisher,1733607336, 0.6
167,publisher,1733607336, 0.6
167,publisher,1733607337, 0.6
167,publisher,1733607337, 0.6
167,publisher,1733607338, 0.6
167,publisher,1733607338, 0.6
167,publisher,1733607339, 0.5
167,publisher,1733607340, 0.6
167,publisher,1733607340, 0.5
167,publisher,1733607341, 0.5
167,publisher,1733607341, 0.5
167,publisher,1733607342, 0.5
167,publisher,1733607342, 0.5
167,publisher,1733607343, 0.5
